,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,fixed farm base power,total farm base power,overlap_flag
68,68,3000,180,0,30.0,137330.2271424363,144883.1563642539,282213.3835066902,True
69,69,3000,225,0,30.0,132320.2419108463,145532.2182636325,277852.4601744788,True
70,70,3000,270,0,30.0,126658.00059328545,145532.1173633468,272190.1179566323,True
71,71,3000,315,0,30.0,132334.27619874076,145531.00429907342,277865.28049781424,False
72,72,2000,0,0,45.0,133587.9417732327,130865.63648101751,264453.5782542502,False
73,73,2000,45,0,45.0,137430.45743372722,118890.9576678005,256321.4151015277,True
74,74,2000,90,0,45.0,137657.34223101407,116932.9293880923,254590.27161910638,False
75,75,2000,135,0,45.0,137425.71328478467,118948.86717244268,256374.58045722736,True
76,76,2000,180,0,45.0,133576.4548122255,130887.81746978484,264464.27228201035,True
77,77,2000,225,0,45.0,122519.91499705407,135741.85431540827,258261.76931246236,True
78,78,2000,270,0,45.0,120599.05881108258,135982.9964010118,256582.05521209442,True
79,79,2000,315,0,45.0,122567.77672958472,135734.32013546754,258302.09686505224,True
80,80,2500,0,0,45.0,135597.80811057895,133402.13962637927,268999.9477369582,False
81,81,2500,45,0,45.0,137595.96105555617,125685.66751794159,263281.62857349776,True
82,82,2500,90,0,45.0,137717.8322487387,122522.55608029441,260240.38832903313,False
83,83,2500,135,0,45.0,137593.3185685002,125705.96874320129,263299.28731170145,True
84,84,2500,180,0,45.0,135588.94247600893,133424.1869974947,269013.1294735036,True
85,85,2500,225,0,45.0,128776.91186873904,135911.99945341024,264688.9113221493,True
86,86,2500,270,0,45.0,126063.1326195096,136055.48752965496,262118.62014916458,True
87,87,2500,315,0,45.0,128779.73310577628,135909.66534415606,264689.3984499324,True
88,88,3000,0,0,45.0,136777.05733194415,134821.10056546456,271598.1578974087,False
89,89,3000,45,0,45.0,137656.45044269573,129498.53933361686,267154.98977631255,False
90,90,3000,90,0,45.0,137739.721678159,126695.00457217374,264434.7262503327,False
91,91,3000,135,0,45.0,137655.44334437317,129518.74689042226,267174.19023479545,True
92,92,3000,180,0,45.0,136771.747081542,134842.90975134328,271614.6568328853,True
93,93,3000,225,0,45.0,132456.79278363712,135979.3957305256,268436.1885141627,True
94,94,3000,270,0,45.0,129485.09027035991,136080.66540973727,265565.75568009715,True
95,95,3000,315,0,45.0,132458.69828671298,135977.83992503374,268436.5382117468,False
96,96,2000,0,0,60.0,133052.1211423238,123171.75604301102,256223.87718533477,False
97,97,2000,45,0,60.0,135960.86447921616,113386.66830318008,249347.53278239624,True
98,98,2000,90,0,60.0,136594.40434432335,112849.21379623393,249443.61814055732,False
99,99,2000,135,0,60.0,135952.33956232728,113441.10034887219,249393.4399111995,True
100,100,2000,180,0,60.0,133043.04232500447,123193.54614853779,256236.58847354224,True
101,101,2000,225,0,60.0,123966.60635405767,126977.89671216975,250944.50306622742,True
102,102,2000,270,0,60.0,123353.91123835977,127675.84440325634,251029.75564161612,True
103,103,2000,315,0,60.0,123996.23304833042,126975.83520912526,250972.06825745568,True
104,104,2500,0,0,60.0,134861.66140400872,125434.52615012295,260296.18755413164,False
105,105,2500,45,0,60.0,136563.2266503677,119369.83536191586,255933.06201228357,True
106,106,2500,90,0,60.0,136912.64225025094,117634.0478583428,254546.69010859376,False
107,107,2500,135,0,60.0,136556.69258607342,119392.2082731023,255948.90085917572,True
108,108,2500,180,0,60.0,134855.40129275827,125455.52502194855,260310.9263147068,True
109,109,2500,225,0,60.0,129485.93633017765,127615.63183915494,257101.56816933258,True
110,110,2500,270,0,60.0,127967.75473788858,128039.96673059747,256007.7214684861,True
111,111,2500,315,0,60.0,129480.87873125622,127617.52165731133,257098.40038856753,True
112,112,3000,0,0,60.0,136007.2695167924,126837.43852656292,262844.7080433553,False
113,113,3000,45,0,60.0,136806.35675638882,122596.1808669545,259402.53762334332,False
114,114,3000,90,0,60.0,137055.83631050034,121053.25694098917,258109.0932514895,False
115,115,3000,135,0,60.0,136802.76660034,122615.42341929639,259418.19001963641,True
116,116,3000,180,0,60.0,136003.13446807786,126858.39594943049,262861.53041750833,True
117,117,3000,225,0,60.0,132577.20245482857,127884.38632323468,260461.58877806328,True
118,118,3000,270,0,60.0,130769.13737842836,128213.11122321484,258982.2486016432,True
119,119,3000,315,0,60.0,132573.63513152004,127885.11111756964,260458.74624908966,False
120,120,2000,0,0,75.0,132790.25283345158,119476.36796806892,252266.6208015205,False
121,121,2000,45,0,75.0,134544.03641994897,111543.14020414028,246087.17662408925,True
122,122,2000,90,0,75.0,135432.9261622464,111595.81944553158,247028.745607778,False
123,123,2000,135,0,75.0,134534.85077883836,111591.88789627881,246126.73867511714,True
124,124,2000,180,0,75.0,132783.1740681194,119493.24897924627,252276.42304736565,True
125,125,2000,225,0,75.0,125357.93767638205,121955.26378776882,247313.2014641509,True
126,126,2000,270,0,75.0,125297.58055999124,122946.5439884751,248244.1245484663,True
127,127,2000,315,0,75.0,125377.87469394901,121959.76281060134,247337.63750455037,True
128,128,2500,0,0,75.0,134504.61180298708,121607.53334885316,256112.14515184026,False
129,129,2500,45,0,75.0,135649.67144436736,116818.77343776761,252468.44488213494,True
130,130,2500,90,0,75.0,136112.3748449663,115739.0208562929,251851.39570125923,False
131,131,2500,135,0,75.0,135640.5258403613,116840.3444641722,252480.8703045335,True
132,132,2500,180,0,75.0,134499.76375087193,121623.76598862572,256123.5297394977,True
133,133,2500,225,0,75.0,130229.68463886731,123134.62881911182,253364.31345797912,True
134,134,2500,270,0,75.0,129266.00152530169,123704.5113865062,252970.51291180786,True
135,135,2500,315,0,75.0,130221.70827195146,123140.36784976417,253362.07612171563,True
136,136,3000,0,0,75.0,135633.18430620697,123001.44511043362,258634.62941664056,False
137,137,3000,45,0,75.0,136129.09864895046,119608.28863169196,255737.3872806424,False
138,138,3000,90,0,75.0,136450.64104126007,118633.12601754145,255083.7670588015,False
139,139,3000,135,0,75.0,136123.88449600924,119625.85195029361,255749.73644630285,True
140,140,3000,180,0,75.0,135630.00484730414,123017.6472373612,258647.65208466531,True
141,141,3000,225,0,75.0,132891.79709351735,123657.21727424131,256549.01436775867,True
142,142,3000,270,0,75.0,131635.89251899588,124115.10453084939,255750.9970498453,True
143,143,3000,315,0,75.0,132886.160144929,123660.29451937122,256546.45466430022,False
144,144,2000,0,0,90.0,132690.972417346,118012.2138961412,250703.18631348724,False
145,145,2000,45,0,90.0,133449.73749198922,111423.82700704785,244873.56449903705,True
146,146,2000,90,0,90.0,134419.99626132566,111737.7366838836,246157.73294520925,False
147,147,2000,135,0,90.0,133441.84293090695,111467.66117014363,244909.5041010506,True
148,148,2000,180,0,90.0,132685.40867298644,118024.74945601556,250710.15812900205,True
149,149,2000,225,0,90.0,126453.05931935282,119352.83357389848,245805.8928932513,True
150,150,2000,270,0,90.0,126642.15939834302,120444.0644716576,247086.2238700006,True
151,151,2000,315,0,90.0,126467.64818719511,119362.47303739112,245830.1212245862,True
152,152,2500,0,0,90.0,134367.1199220485,120089.71741095225,254456.83733300073,False
153,153,2500,45,0,90.0,134977.2328305165,116178.78697455673,251156.01980507324,True
154,154,2500,90,0,90.0,135432.1013396134,115429.70493679638,250861.80627640977,False
155,155,2500,135,0,90.0,134966.84158488177,116198.9855284636,251165.82711334532,True
156,156,2500,180,0,90.0,134363.2480487393,120101.82384048615,254465.07188922545,True
157,157,2500,225,0,90.0,130846.9736988364,120987.5376838395,251834.5113826759,True
158,158,2500,270,0,90.0,130165.18076615478,121555.7636612407,251720.9444273955,True
159,159,2500,315,0,90.0,130837.94841063788,120995.81955681196,251833.76796744982,True
160,160,3000,0,0,90.0,135490.18582272276,121481.62303219123,256971.808854914,False
161,161,3000,45,0,90.0,135672.61988000871,118665.61205403601,254338.23193404474,False
162,162,3000,90,0,90.0,135962.58797860672,117975.09413847489,253937.6821170816,False
163,163,3000,135,0,90.0,135666.7964182758,118681.6562568336,254348.45267510938,True
164,164,3000,180,0,90.0,135487.71911365478,121493.67106407706,256981.39017773184,True
165,165,3000,225,0,90.0,133214.7966736069,121738.55049856445,254953.34717217137,True
166,166,3000,270,0,90.0,132248.8980952089,122200.30319057159,254449.20128578047,True
167,167,3000,315,0,90.0,133208.39908190264,121743.39154536776,254951.7906272704,False
