,distance,variance of wind direction,flexible farm base power,flexible farm opt power,flexible_percent_gain,fixed farm base power,fixed farm opt power,fixed_percent_gain,total farm base power,total farm opt power,total_percent_gain,overlap_flag,optimal position
23,2400.0,45.0,128917.22096123017,136957.42159173035,6.236715754924743,130897.37158755383,129498.38212697272,-1.068768183511894,259814.59254878404,266455.80371870304,2.556134782411043,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 1.4695761589768238e-13, 2.2040907940775308e-13, 1.4695761854867525e-13, 790.7772195019426, 896.6558546068468, 947.535908957231, 2000.0, 1914.5515373968803, 2000.0000000000002, 1966.4013862361576], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4399.999999999999, 3245.102772361724, 2400.0000000000005, 2400.0, 3412.9853716090515, 4400.0, 3692.677176301545, 2400.0000000000005, 4400.0, 3039.047068519999]]]"
24,2600.0,45.0,130767.38729861533,136956.30674435495,4.732769824028713,129147.74618986639,129864.33917004673,0.5548629390147041,259915.13348848172,266820.6459144017,2.6568335337911315,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 1.6845833757686834e-13, 1.6919455159645872e-13, 525.4251832777009, 722.8438833927131, 254.47763266548637, 1217.5332467610467, 1413.8750436020316, 1766.2522088186438, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4600.0, 3263.4339702860907, 3706.406185184685, 4599.999999999999, 2600.0000000000005, 2600.0, 4599.999999999999, 3542.3889584193416, 4599.999999999999, 2600.0]]]"
25,2800.0,45.0,131153.65606266452,135335.30651690843,3.1883598061848435,131410.96155031456,131341.22403326357,-0.05306826479942484,262564.6176129791,266676.53055017197,1.5660575193165809,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 11.854527175911427, 2.2294658156855546e-13, 1.7219159289272441e-13, 2.5283181766415594e-13, 1097.2817071840216, 2.012814707140971e-13, 1074.353729569902, 2000.0000000000002, 1997.6140145793452, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2800.000000000001, 3722.675746525522, 4281.7458699614135, 4800.0, 3669.224329000077, 3213.456901026076, 4800.0, 3631.1869951702492, 2800.0, 4800.0]]]"
26,3000.0,45.0,129554.85080617927,137812.9989097406,6.374248476358434,131414.5943142789,131159.27773489713,-0.1942832763088469,260969.4451204582,268972.27664463775,3.066577974477282,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.1563734330177974e-13, 1.8369787413219573e-13, 1.8369892605001627e-13, 655.0700326129759, 793.6027531405966, 910.1212938204889, 1999.9998022722962, 1336.2544218623532, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3000.0, 3906.152499656824, 5000.0, 5000.0, 3862.9900083622665, 3000.0, 3881.392817734334, 5000.0, 4999.999996876182, 3000.0]]]"
27,3200.0,45.0,128354.19919170823,137087.1808790503,6.803814555609985,132071.19194327557,131424.26868037463,-0.48982919998086155,260425.39113498383,268511.44955942495,3.104942413334015,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.0919032366813796e-13, 2.0045872254491586e-13, 2.489938088273651e-13, 762.6701946705923, 2.1971440084849565e-13, 1330.0796211289257, 1117.8448430289463, 2000.0000000000002, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3200.0, 3871.178689532877, 5200.0, 3200.0, 4541.830317176753, 3675.6136949867946, 5200.0, 3200.0, 5200.0, 4226.900728876213]]]"
28,3400.0,45.0,129785.33766342713,137252.92275090318,5.753797171481552,132336.02931712376,131992.85335525702,-0.259321640249891,262121.3669805509,269245.7761061602,2.7179810664339765,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 3.6135519110534602e-09, 4.3829275411808447e-08, 4.3677936881589106e-09, 5.593031771397616e-09, 729.8957208987302, 1382.0741896455108, 1461.7762477831482, 1999.9994763397247, 1076.5543047313224, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5399.999999999999, 4005.8926390413735, 4676.806130167, 3400.0, 5399.999999972525, 5399.999999999999, 4239.408597585841, 5400.0, 3400.0, 3400.0]]]"
29,3600.0,45.0,127570.06597212418,137352.21994532636,7.668063741018769,132968.81373583034,132365.9679628335,-0.45337380703005437,260538.8797079545,269718.18790815986,3.523200917457965,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 3.161797514544112e-13, 2.497127987073274e-13, 316.4714067961817, 473.62410582910064, 996.1877912385855, 787.0422409910825, 1501.8857333989065, 1535.6117638601281, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3600.0000000000005, 5600.0, 3959.1522005185902, 5600.0, 5600.0, 4504.240574194863, 3600.0000000000005, 5600.0, 4256.766706024594, 5600.0]]]"
30,3800.0,45.0,129549.26936524619,137915.5019690981,6.457954294025767,132572.4259331075,132441.24712207785,-0.09894878977008145,262121.6952983537,270356.74909117597,3.141691031506915,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.7357296767324607e-13, 2.5155206430431407e-13, 3.1962952579283303e-13, 680.8157272227468, 861.5181876803255, 1999.9999999998695, 1490.8531666234132, 1228.3969681451083, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4682.448549103194, 5799.999999999999, 3800.0, 5800.0, 3800.0, 5800.0, 3800.0, 5319.694068496998, 4769.7941978457475, 3800.0]]]"
31,2000.0,60.0,127686.8451678836,136196.46583495697,6.664445860405475,121593.83614167296,121527.2992368454,-0.05472062313260379,249280.68130955656,257723.76507180237,3.3869787734418098,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 3.381418337707173e-13, 0.12174175349606227, 81.20081701702041, 873.1288792400276, 308.75374746010334, 646.8592879606341, 1997.5773148859762, 1695.309191235118, 1999.3209365293844, 1999.864861054714], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3999.9999999919173, 2003.9842884953423, 2491.481328301002, 2008.9306578910891, 3186.3885196569963, 3999.999999999999, 2000.0641207303422, 3500.3397617008836, 2720.5084956717114, 3999.9999999987454]]]"
32,2200.0,60.0,130307.66980346272,137424.42643380785,5.461502489515023,122760.9715542051,122215.75202659628,-0.4441309975850714,253068.6413576678,259640.1784604041,2.596740974101407,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 3.425041262470721e-13, 1.8877272163648897e-13, 3.203356276820099e-13, 635.3137521254058, 883.6483246164274, 1251.1308653415063, 1304.6313357187055, 2000.0000000000002, 2000.0, 2000.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2200.0, 3176.34743794445, 4200.0, 4200.0, 2200.0, 2889.757638084562, 4200.0, 4200.0, 2200.0, 3258.428368089861]]]"
33,2400.0,60.0,132980.83060794993,137139.6523231469,3.12738437275812,123233.26211191092,122571.97644244689,-0.5366129713124914,256214.09271986084,259711.62876559378,1.3650833990451376,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.0608937141394122e-13, 2.0066167094066487e-13, 2.351474907260312e-13, 744.942215265214, 1142.9522813041096, 944.7315852747648, 1427.914953495843, 1722.7149788798934, 2000.0, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4400.0, 2400.0, 3524.2747107419495, 2400.0, 4400.0, 3390.4138080243897, 2400.0000000000005, 3319.0600781132284, 4400.0, 2400.0000000000005]]]"
34,2600.0,60.0,126083.31490639484,135195.09457513987,7.226792597822863,123251.03251940168,123737.3456071438,0.39457120788466205,249334.3474257965,258932.44018228364,3.8494867857480375,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 1.8813181257704966e-13, 0.00013516065835769312, 374.12507359392555, 326.29313750479594, 1029.971266802079, 1196.1207856970414, 1072.9758236107102, 1930.3191759154618, 1999.999609280769, 1999.9389545331578], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3730.9032812843902, 4600.0, 3436.128611579057, 2600.0, 4172.865291108594, 2600.0, 3036.6839683331577, 4600.0, 3657.470600029949, 2600.0]]]"
35,2800.0,60.0,129080.7295507436,137452.6070375677,6.4857686472348215,125025.36067934797,123831.64292842633,-0.954780489682541,254106.09023009162,261284.249965994,2.8248672550125047,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.1736427193501872e-13, 1.7681210914344245e-13, 264.89036450647075, 623.5691334558204, 581.4076697933265, 1303.3177201313958, 1325.2950546698048, 1320.7563791087239, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4799.999999372592, 2800.0, 3754.892193094221, 4800.0, 2800.0, 2800.0, 3809.0763593237266, 4800.0, 2800.0, 4800.0]]]"
