,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,flexible farm opt power,flexible_percent_gain,fixed farm base power,fixed farm opt power,fixed_percent_gain,total farm base power,total farm opt power,total_percent_gain,overlap_flag,optimal position
408,156,2500,270,0,45.0,119344.74796192984,127464.59001068134,6.803686117248888,136065.4044697048,136061.7434867241,-0.002690605297489958,255410.15243163463,263526.3334974054,3.177704953581756,True,"[[2500.0, 2722.222222222222, 2944.4444444444443, 3166.666666666667, 3388.8888888888887, 3611.1111111111113, 3833.3333333333335, 4055.5555555555557, 4277.777777777777, 4500.0, 2499.9999999999995, 2500.0000000000014, 2499.9999999999995, 3361.3793773538605, 3260.280171609396, 3913.4347692852734, 3568.7648330114453, 4499.999999999994, 4500.0, 4500.0], [3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 1999.9999999994538, 752.2019428343799, 0.0, 1999.999999999816, 5.511773725156477e-11, 0.0, 1291.5046016602564, 1.4784957377152327e-11, 1999.9999999997738, 741.4706290621313]]"
409,157,2500,270,0,45.0,119556.75359518096,126708.91129402866,5.982228091492766,136088.96336866744,136055.27420313843,-0.024755251781692713,255645.71696384836,262764.18549716705,2.7845052981370064,True,"[[2500.0, 2722.222222222222, 2944.4444444444443, 3166.666666666667, 3388.8888888888887, 3611.1111111111113, 3833.3333333333335, 4055.5555555555557, 4277.777777777777, 4500.0, 2499.9999999999995, 2499.9999999999995, 2784.6098041356477, 3118.547828166967, 3807.1961333663185, 3123.4545090236847, 3848.1355743828553, 4186.861505413406, 4500.0, 4500.0], [3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 1.2347011951187362e-18, 2000.0, 954.6073152378335, 1999.9999999999995, 1999.9999999999995, 7.027048536958236e-14, 1.4433897772099282e-18, 934.6019229725777, 1999.9999999999995, 5.791009041348229e-18]]"
410,158,2500,270,0,45.0,119330.89964198774,126801.20026891335,6.26015612832698,136060.15919849614,136056.23113287432,-0.0028870064866581215,255391.0588404839,262857.4314017877,2.9235058561573393,True,"[[2500.0, 2722.222222222222, 2944.4444444444443, 3166.666666666667, 3388.8888888888887, 3611.1111111111113, 3833.3333333333335, 4055.5555555555557, 4277.777777777777, 4500.0, 2499.9999999999995, 2499.9999999999995, 2499.9999999999995, 2499.9999999999995, 3507.112353870701, 3344.03421419976, 4500.0, 4500.0, 4500.0, 4500.0], [3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 2000.0, 1212.9693547701524, 549.0358651876885, 1.0583839704134552e-13, 2.331180443813547e-13, 2000.0, 1285.795495715471, 0.0, 611.1040596822347, 2000.0]]"
411,159,3000,270,0,45.0,122124.96994147098,129156.630898633,5.75775859804263,136094.38469321336,136083.22533230492,-0.00819972178396131,258219.35463468434,265239.85623093793,2.7188130828480492,True,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 2999.9999999999995, 3000.0044705051982, 3778.3477526683137, 3000.10536205322, 3771.5275343073054, 2999.9999999999995, 3993.398785809087, 4999.9731562837005, 5000.0, 4994.338269450598], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 1122.0626539112038, 0.0, 0.0019481108924400828, 1999.8820998529202, 1950.4656544670368, 546.5207160204462, 869.9253502146934, 1884.3182897875931, 0.019058608908212312, 632.9702036765073]]"
412,160,3000,270,0,45.0,119528.37620193273,128167.96438244052,7.228064544198247,136094.94424274933,136080.31274194169,-0.010750951028387306,255623.32044468206,264248.2771243822,3.3740883518358893,True,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.164170903145, 3248.381381303794, 2999.9999999999995, 3508.195683779468, 3769.910775959126, 4303.117765636771, 4384.069491278545, 4999.925989188956, 4316.075465020791, 5000.0], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 1.6855853635039568e-13, 489.1884352301098, 2000.0, 2000.0, 1173.2449300022984, 2000.0, 600.9479722694649, 1999.9999999999998, 2.8284877240176456e-13, 1.9910188841291502e-05]]"
413,161,3000,270,0,45.0,122493.65421095966,129662.49790875765,5.852420473514277,136091.55683858143,136079.86853587453,-0.008588558304731193,258585.21104954107,265742.3664446322,2.7678131189489794,True,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 2999.9999999999995, 3000.0, 2999.9999999999995, 3658.686875201783, 3679.387254092686, 4457.77016326951, 4050.2288303419273, 5000.0, 5000.0, 5000.0], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 2000.0, 7.522123302556733e-15, 1020.785847768809, 712.145750059739, 1999.9999999338818, 1999.99999997099, 1.8584430396399183e-14, 882.1310846585101, 1.6350456381449804e-16, 2000.0]]"
414,162,2000,270,0,60.0,120529.12275520465,126517.60541921988,4.968494358146018,128134.60418487247,127978.39198130481,-0.12191258135255613,248663.72694007712,254495.9974005247,2.3454448029941437,True,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 1999.9999999999995, 2407.73816980115, 1999.9999999999995, 2000.0000000000005, 2930.950598565059, 2849.7918951495903, 3429.799564487675, 3493.6871607885114, 3999.999954688882, 3999.9999999999995], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 2.528300586817409e-14, 5.278611373888736e-14, 1042.6750188076567, 1999.999005009924, 2.4951083906561408e-14, 1281.0600599030074, 726.7691303855713, 1.3485762089178866e-07, 1551.583225275147, 5.135294425582929e-14]]"
415,163,2000,270,0,60.0,117867.004374193,127197.82206260385,7.916395040284776,127909.87487201375,127904.42624705243,-0.004259737543154841,245776.87924620675,255102.24830965625,3.7942417903792407,True,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 1999.9999999999998, 1999.9999999999995, 2436.3552852545367, 1999.9999999999995, 2930.954079743591, 3460.8701361581643, 3006.124181107301, 3999.9999999999995, 3999.9999999999995, 3999.9999999999995], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 1.4836963080009416e-13, 1998.4455151139266, 1.5050288898752435e-23, 1015.9688309204329, 4.16607134632208e-15, 1.9613949973848718e-14, 1430.616836711176, 2.3895123848484742e-17, 914.1284410501079, 1838.2937790817457]]"
416,164,2000,270,0,60.0,115384.01947994383,125992.19851323459,9.193802643644842,128007.44334309346,127835.90610661276,-0.13400567342082795,243391.4628230373,253828.10461984735,4.288006520753865,True,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 1999.9999999999995, 1999.9999999999995, 1999.9999999999995, 1999.9999999999995, 3119.8382312421472, 3183.2047198230366, 3039.3743989733375, 3999.9999999999995, 3999.9999999999995, 3999.9999999999995], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 564.9051778166399, 1281.3571829117352, 1999.964486901743, 0.0, 737.1367130119526, 1400.0073003351154, 4.731579984222198e-16, 2000.0, 922.5718718212656, 1.403099489497814e-13]]"
417,165,2500,270,0,60.0,116671.06306199182,129221.41557125162,10.757039646232858,128153.68292189664,128076.4503365712,-0.06026559952437238,244824.74598388848,257297.86590782282,5.094713720138068,True,"[[2500.0, 2722.222222222222, 2944.4444444444443, 3166.666666666667, 3388.8888888888887, 3611.1111111111113, 3833.3333333333335, 4055.5555555555557, 4277.777777777777, 4500.0, 2499.9999999999995, 2499.9999999999995, 2499.9999999999995, 2500.0444489407523, 3622.1222675190047, 3482.362305468153, 4499.869853156961, 3685.074587217737, 4500.0, 4500.0], [3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 593.878897206216, 1264.639203692145, 4.541594940428367e-14, 1999.9999999999993, 599.024458279056, 2000.0, 976.4920402592322, 1.1355523510140718e-12, 1999.9999999999982, 2.790565423542957e-13]]"
418,166,2500,270,0,60.0,121046.15690350221,129670.4080882428,7.12476249172935,128251.24983638525,128141.35172526605,-0.0856896999127868,249297.4067398875,257811.75981350886,3.415339607806309,True,"[[2500.0, 2722.222222222222, 2944.4444444444443, 3166.666666666667, 3388.8888888888887, 3611.1111111111113, 3833.3333333333335, 4055.5555555555557, 4277.777777777777, 4500.0, 2499.9999999999995, 2499.9999999999995, 2499.9999999999995, 2910.5418769749604, 2975.4919769083917, 3494.6984169305356, 4500.0, 4022.306316605703, 4500.0, 4500.0], [3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 1.3522155018279693e-13, 770.8162381703171, 1458.485192007895, 2000.0, 1.4501149941836845e-13, 1.9617735359043512e-14, 1219.70092924069, 1.1886282925445943e-14, 1.2302234129357845e-13, 2000.0]]"
